Region,area,bedrooms,name,price,url,where,Latitude,Longtitude,City
sfc,485ft2,0,"Sunny Apartment, Ready to Rent!",2981,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-sunny-apartment-ready-to/6858387395.html,western addition,37.78317,-122.432681,san francisco
sfc,,2,Amazing 2bed/1bath,3550,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-amazing-2bed-1bath/6858324051.html,north beach / telegraph hill,37.798165,-122.412096,san francisco
sfc,438ft2,0,Furnished Studio Condo in Doorperson bldg.,2650,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-furnished-studio-condo-in/6858383776.html,SOMA / south beach,37.787766,-122.390329,san francisco
sfc,472ft2,0,Wake up with the Sun! Breathtaking Rooftop!! Only @ The Martin,3175,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-wake-up-with-the-sun/6858380924.html,potrero hill,37.763672,-122.388793,san francisco
sfc,650ft2,1,1x1 loft!! Available May 4! Tour now!! Won't last!,3650,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1x1-loft-available-may-4/6858380206.html,SOMA / south beach,37.763672,-122.388793,san francisco
sfc,,0,"Beautifuly Remodeled Studio w/Historic Charm,Walk to FiDi, MUNI, SHOPS",2495,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautifuly-remodeled/6858378182.html,lower nob hill,37.788418,-122.416152,san francisco
sfc,,1,Beautiful Large Studio with Hardwood Floors,2795,https://sfbay.craigslist.org/sfc/apa/d/beautiful-large-studio-with-hardwood/6845184346.html,mission district,37.751071,-122.421663,san francisco
sfc,,2,Newely Built Two Bed Apt. short term,3250,https://sfbay.craigslist.org/sfc/apa/d/daly-city-newely-built-two-bed-apt/6840834046.html,ingleside / SFSU / CCSF,37.712208,-122.456188,daly city
sfc,1000ft2,1,Beautiful 1 bedroom in the heart of Noe Valley,3750,https://sfbay.craigslist.org/sfc/apa/d/beautiful-1-bedroom-in-the-heart-of-noe/6858376300.html,noe valley,34.151,-118.0889,san marino
sfc,750ft2,1,Fantastic loft in trendy SOMA,3900,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fantastic-loft-in-trendy/6858373571.html,SOMA / south beach,37.77497,-122.408889,san francisco
sfc,702ft2,1,The Martin: Come Tour Now!! Amazing Location!,3675,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-the-martin-come-tour-now/6858371516.html,potrero hill,37.763672,-122.388793,san francisco
sfc,498ft2,0,"When Minutes Matter, Live Where You Work and Play at Geary Courtyard!",2346,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-when-minutes-matter-live/6858369346.html,lower nob hill,37.786649,-122.413799,san francisco
sfc,,2,"1662 24th Ave, San Francisco",3800,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-th-ave-san-francisco/6853541906.html,sunset / parkside,37.756555,-122.482008,daly city
sfc,,2,"1538 23rd Ave, San Francisco",3800,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-rd-ave-san-francisco/6848114540.html,sunset / parkside,37.75892,-122.481097,daly city
sfc,,0,"9 Edward St, San Francisco",1750,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-9-edward-st-san-francisco/6838905638.html,USF / panhandle,37.77816,-122.457177,san francisco
sfc,,0,"1808 Grant Ave, San Francisco",2500,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1808-grant-ave-san/6839763711.html,north beach / telegraph hill,37.803549,-122.408169,san francisco
sfc,,1,"601 Van Ness Ave #1131, San Francisco",3800,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-601-van-ness-ave-1131-san/6846170796.html,downtown / civic / van ness,37.763572,-122.417332,san francisco
sfc,,1,"2590 Greenwich St #3, San Francisco",2650,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2590-greenwich-st-3-san/6852871343.html,marina / cow hollow,37.798129,-122.442332,san francisco
sfc,715ft2,1,The Lansing: 50 Lansing St. #108,3700,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-the-lansing-50-lansing-st/6858364838.html,SOMA / south beach,37.786106,-122.393908,san francisco
sfc,775ft2,1,Massive 1 Bedroom.. Waiting For You to Make it Home!,3485,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-massive-1-bedroom-waiting/6858364034.html,lower nob hill,37.788845,-122.419161,san francisco
sfc,946ft2,2,"2/2 Large patio, *pet friendly*, fun events for residents!",3985,https://sfbay.craigslist.org/sfc/apa/d/san-quentin-2-2-large-patio-pet/6858355227.html,financial district,37.947424,-122.508085,corte madera
sfc,,2,$2890/2 Spacious BR in Twin Peaks with View­ & Parking,2890,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-br-in-twin-peaks/6858362970.html,twin peaks / diamond hts,37.749254,-122.444808,san francisco
sfc,,0,"Studio in Historic, pet-friendly building! 851 O'Farrell #403",1645,https://sfbay.craigslist.org/sfc/apa/d/studio-in-historic-pet-friendly/6850113284.html,tenderloin,37.785061,-122.418741,san francisco
sfc,,0,"Cozy studio, pet friendly 360 Hyde St #201",1645,https://sfbay.craigslist.org/sfc/apa/d/cozy-studio-pet-friendly-360-hyde-st-201/6850110806.html,tenderloin,37.784087,-122.415999,san francisco
sfc,,0,"Studio in Historic, pet-friendly building! 424 Jones Street #603",1545,https://sfbay.craigslist.org/sfc/apa/d/studio-in-historic-pet-friendly/6850427396.html,tenderloin,37.785087,-122.412827,san francisco
sfc,,1,"Spacious 1 bedroom, pet friendly 930 Sutter St #208",2425,https://sfbay.craigslist.org/sfc/apa/d/spacious-1-bedroom-pet-friendly-930/6836666365.html,downtown / civic / van ness,37.7917,-122.4186,san francisco
sfc,,0,"Studio in Historic, pet-friendly building! 1739 Pine Street #40",1995,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-in-historic-pet/6851266260.html,lower pac hts,37.7917,-122.4186,san francisco
sfc,,1,One bedroom in Historic Pet-friendly Building! 930 Sutter #302,2225,https://sfbay.craigslist.org/sfc/apa/d/one-bedroom-in-historic-pet-friendly/6856475495.html,lower nob hill,37.788324,-122.415688,san francisco
